free  energy   TOTEN,energy  without entropy,energy(sigma->0),kin. lattice  EKIN_LAT,nose potential ES,nose kinetic   EPS,total energy   ETOTAL,(temperature
-914.41679696,-914.45375405,-914.42911599,0.0,-14.106781,0.252713,-917.030423,812.7
-914.51547704,-914.55317165,-914.52804191,0.0,-14.281038,0.138211,-917.03106,840.67
-914.59821785,-914.63096218,-914.60913262,0.0,-14.401157,0.053374,-917.032348,861.38
-914.66275937,-914.69488875,-914.67346916,0.0,-14.463853,0.006989,-917.032822,873.9
-914.70999816,-914.74675303,-914.72224978,0.0,-14.467141,0.004503,-917.033106,877.71
-914.73973443,-914.77694434,-914.75213774,0.0,-14.410413,0.047336,-917.032777,872.69
-914.75256829,-914.7908266,-914.76532106,0.0,-14.294468,0.132699,-917.031997,859.12
-914.74996312,-914.7893418,-914.76308935,0.0,-14.121458,0.253956,-917.031002,837.72
-914.73351464,-914.77400937,-914.74701288,0.0,-13.894775,0.401477,-917.02979,809.57
-914.70514997,-914.7466826,-914.71899418,0.0,-13.618888,0.5638,-917.028476,775.93
-914.66716563,-914.70937345,-914.68123491,0.0,-13.299133,0.728908,-917.027102,738.22
-914.62195784,-914.66488226,-914.63626598,0.0,-12.941494,0.885439,-917.025798,697.87
-914.57207603,-914.61536711,-914.58650639,0.0,-12.552377,1.023601,-917.024857,656.21
-914.51991915,-914.56322697,-914.53435509,0.0,-12.138395,1.135837,-917.024052,614.45
-914.46803928,-914.51119502,-914.48242453,0.0,-11.706179,1.217128,-917.023503,573.61
-914.41884244,-914.46167085,-914.43311858,0.0,-11.262215,1.264978,-917.023273,534.51
-914.37421675,-914.41669412,-914.38837587,0.0,-10.812713,1.279217,-917.023068,497.77
-914.3360455,-914.37818036,-914.35009045,0.0,-10.36351,1.261602,-917.023165,463.8
-914.3058921,-914.34779519,-914.3198598,0.0,-9.920004,1.215366,-917.023386,432.88
-914.28521678,-914.3270752,-914.29916959,0.0,-9.487108,1.144827,-917.02371,405.16
-914.2749204,-914.31697669,-914.28893916,0.0,-9.069228,1.054906,-917.024043,380.68
-914.27598588,-914.31850632,-914.29015936,0.0,-8.670253,0.9508,-917.024437,359.41
-914.28909776,-914.33235218,-914.3035159,0.0,-8.293566,0.837668,-917.024818,341.28
-914.31477933,-914.35901912,-914.32952593,0.0,-7.942049,0.720423,-917.025158,326.17
-914.35329535,-914.39873741,-914.3684427,0.0,-7.618104,0.603539,-917.025434,313.97
-914.4048299,-914.45164855,-914.42043612,0.0,-7.323671,0.490943,-917.025659,304.53
-914.46946917,-914.51779306,-914.48557713,0.0,-7.060253,0.385941,-917.025886,297.73
-914.54715475,-914.59706872,-914.56379274,0.0,-6.828929,0.291181,-917.026059,293.46
-914.63772875,-914.68927864,-914.65491204,0.0,-6.63038,0.208639,-917.026171,291.61
-914.74088153,-914.79409024,-914.75861777,0.0,-6.464899,0.139624,-917.026216,292.1
-914.85624344,-914.91109686,-914.87452791,0.0,-6.332412,0.084797,-917.026166,294.82
-914.98344412,-915.03990808,-915.00226544,0.0,-6.232484,0.044211,-917.026086,299.74
-915.1218281,-915.17985316,-915.14116979,0.0,-6.164338,0.017349,-917.025942,306.77
-915.27089278,-915.33042672,-915.29073743,0.0,-6.126855,0.003179,-917.025793,315.87
-915.42991491,-915.4909027,-915.45024418,0.0,-6.11859,0.000222,-917.025592,327.0
-915.59816367,-915.66055103,-915.61895945,0.0,-6.137775,0.006621,-917.025425,340.1
-915.77481098,-915.8385473,-915.79605642,0.0,-6.18233,0.020226,-917.025206,355.13
-915.95894564,-916.02398795,-915.98062641,0.0,-6.249866,0.038691,-917.024983,372.0
-916.14939373,-916.21570909,-916.17149885,0.0,-6.337704,0.059583,-917.024763,390.63
-916.34499581,-916.41256452,-916.36751871,0.0,-6.442884,0.080503,-917.024509,410.88
-916.54456539,-916.61338218,-916.56750432,0.0,-6.56219,0.099213,-917.024262,432.6
